plugin,branch
`lcnaf <https://github.com/archivesspace-plugins/lcnaf>`_,v1.0.0
`pui-help <https://github.com/YaleArchivesSpace/pui-help>`_,1.2
`yale_pui_pdf <https://github.com/YaleArchivesSpace/yale_pui_pdf>`_,v1.0.0
`yale_pui_hashtag <https://github.com/YaleArchivesSpace/yale_pui_hashtag>`_,v1.0.0
`yale_pui_ask_a_question <https://github.com/YaleArchivesSpace/yale_pui_ask_a_question>`_,v1.0.0
`aspace_yale_pui <https://github.com/YaleArchivesSpace/aspace_yale_pui>`_,v1.1.0
`extended_advanced_search <https://github.com/YaleArchivesSpace/extended_advanced_search>`_,master
`aspace_yale_accessions <https://github.com/hudmol/aspace_yale_accessions>`_,1.1
`material_types <https://github.com/hudmol/material_types>`_,e7384d7bb2f99f070e4c70e3061704ea37525c85
`payments_module <https://github.com/YaleArchivesSpace/payments_module>`_,78c8423
`yale_accession_marc_export <https://github.com/YaleArchivesSpace/yale_accession_marc_export>`_,0.5.2
`user_defined_in_basic <https://github.com/hudmol/user_defined_in_basic>`_,0.6
`digitization_work_order <https://github.com/YaleArchivesSpace/digitization_work_order>`_,v1.11.y
`yale_as_requests <https://github.com/triplingual/yale_as_requests>`_,b793c6b
`in_a_rush <https://github.com/marktriggs/in_a_rush>`_,master
`child_publisher <https://github.com/hudmol/child_publisher>`_,0.6
`yale_marcxml_export_plugin <https://github.com/YaleArchivesSpace/yale_marcxml_export_plugin>`_,c25d6d0822721051ebfacf2e631c1f58db743d5e
`yale_series_titles <https://github.com/YaleArchivesSpace/yale_series_titles>`_,master
`yale_accession_slips <https://github.com/hudmol/yale_accession_slips>`_,master
`display_multiple_containers <https://github.com/YaleArchivesSpace/display_multiple_containers>`_,master
`omniauthCas <https://github.com/YaleArchivesSpace/aspace-omniauth-cas>`_,master
`archivesspace_delete_button_context_plugin <https://github.com/YaleArchivesSpace/archivesspace_delete_button_context_plugin>`_,master
`yale_onsite_locations <https://github.com/hudmol/yale_onsite_locations>`_,v0.2
`yale_repositories <https://github.com/hudmol/yale_repositories>`_,v0.2
`yale_pui_customizations <https://github.com/YaleArchivesSpace/yale_pui_customizations>`_,1.7.0
`yale_staff_customizations <https://github.com/YaleArchivesSpace/yale_staff_customizations>`_,v2.1.2
`yale-archivesspace-reports <https://github.com/YaleArchivesSpace/yale-archivesspace-reports>`_,v1.5.1
`container_management_labels <https://github.com/triplingual/container_management_labels>`_,yale_styles
